what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1281505295054
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1281505295054
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1281505295054
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281505295054
os,sysinfo,,,"macosx",1281505295056
arch,sysinfo,,,"x86",1281505295056
ws,sysinfo,,,"cocoa",1281505295056
locale,sysinfo,,,"en_US",1281505295056
processors,sysinfo,,,"2",1281505295056
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281505295056
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1281505295056
java.specification.name,sysinfo,,,"Java Platform API Specification",1281505295056
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281505295056
java.specification.version,sysinfo,,,"1.6",1281505295056
java.vendor,sysinfo,,,"Apple Inc.",1281505295056
java.version,sysinfo,,,"1.6.0_20",1281505295056
java.vm.info,sysinfo,,,"mixed mode",1281505295056
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281505295056
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281505295056
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281505295056
java.vm.specification.version,sysinfo,,,"1.0",1281505295056
java.vm.vendor,sysinfo,,,"Apple Inc.",1281505295056
java.vm.version,sysinfo,,,"16.3-b01-279",1281505295056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1281505300258
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1281505301082
